ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
kara1499-7-420-1,,kara1499,7-420,minggalot,minggalot,,,visser2021,,false,,,Phonemic,
kara1499-7-421-1,,kara1499,7-421,kalanggulung,kalanggulung,,,visser2021,,false,,,Phonemic,
kara1499-7-430-1,,kara1499,7-430,kadera,kadera,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-440-1,,kara1499,7-440,meja,meja,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-450-1,,kara1499,7-450,lampur,lampur,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-470-1,,kara1499,7-470,rak,rak,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-510-1,,kara1499,7-510,seng,seng,,,visser2021,,false,,,Phonemic,
kara1499-7-510-2,,kara1499,7-510,sanong,sanong,,,visser2021,,false,,,Phonemic,
kara1499-7-520-1,,kara1499,7-520,sanong,sanong,,,visser2021,,false,,,Phonemic,
kara1499-7-520-2,,kara1499,7-520,seng,seng,,,visser2021,,false,,,Phonemic,
kara1499-7-530-1,,kara1499,7-530,tunggin,tunggin,,,visser2021,,false,,,Phonemic,
kara1499-7-540-1,,kara1499,7-540,gunting,gunting,,,visser2021,,false,,,Phonemic,
kara1499-7-540-2,,kara1499,7-540,lepir,lepir,,,visser2021,,false,,,Phonemic,
kara1499-7-550-1,,kara1499,7-550,balak,balak,,,visser2021,,false,,,Phonemic,
kara1499-7-550-2,,kara1499,7-550,regil,regil,,,visser2021,,false,,,Phonemic,
kara1499-7-560-1,,kara1499,7-560,paden,paden,,,visser2021,,false,,,Phonemic,
kara1499-7-570-1,,kara1499,7-570,pawan,pawan,,,visser2021,,false,,,Phonemic,
kara1499-7-620-1,,kara1499,7-620,bataku,bataku,,,visser2021,,false,,,Phonemic,
kara1499-8-130-1,,kara1499,8-130,amdir,amdir,,,visser2021,,false,,,Phonemic,
kara1499-8-160-1,,kara1499,8-160,tal,tal,,,visser2021,,false,,,Phonemic,
kara1499-8-220-1,,kara1499,8-220,ruo,ruo,,,visser2021,,false,,,Phonemic,
kara1499-8-240-1,,kara1499,8-240,eskop,eskop,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-8-311-1,,kara1499,8-311,dowi,dowi,,,visser2021,,false,,,Phonemic,
kara1499-8-311-2,,kara1499,8-311,tang,tang,,,visser2021,,false,,,Phonemic,
kara1499-8-470-1,,kara1499,8-470,keteles,keteles,,,visser2021,,false,,,Phonemic,
kara1499-8-480-1,,kara1499,8-480,pasa,pasa,,,visser2021,,false,,,Phonemic,
kara1499-8-510-1,,kara1499,8-510,kaman,kaman,,,visser2021,,false,,,Phonemic,
kara1499-8-510-2,,kara1499,8-510,yuor,yuor,,,visser2021,,false,,,Phonemic,
kara1499-8-510-3,,kara1499,8-510,kucai,kucai,,,visser2021,,false,,,Phonemic,
kara1499-8-531-1,,kara1499,8-531,koya,koya,,,visser2021,,false,,,Phonemic,
kara1499-8-540-1,,kara1499,8-540,kiel,kiel,,,visser2021,,false,,,Phonemic,
kara1499-8-550-1,,kara1499,8-550,karok,karok,,,visser2021,,false,,,Phonemic,
kara1499-8-550-2,,kara1499,8-550,sanggoup,sanggoup,,,visser2021,,false,,,Phonemic,
kara1499-8-560-1,,kara1499,8-560,ol,ol,,,visser2021,,false,,,Phonemic,
kara1499-8-560-2,,kara1499,8-560,lolok,lolok,,,visser2021,,false,,,Phonemic,
kara1499-8-570-1,,kara1499,8-570,pus,pus,,,visser2021,,false,,,Phonemic,
kara1499-8-570-2,,kara1499,8-570,bunga,bunga,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-8-600-1,,kara1499,8-600,ror,ror,,,visser2021,,false,,,Phonemic,
kara1499-8-680-1,,kara1499,8-680,tabai,tabai,,,visser2021,,false,,,Phonemic,
kara1499-8-690-1,,kara1499,8-690,kosom,kosom,,,visser2021,,false,,,Phonemic,
kara1499-8-720-1,,kara1499,8-720,ror tabur,ror tabur,,,visser2021,,false,,,Phonemic,
kara1499-8-730-1,,kara1499,8-730,ewun,ewun,,,visser2021,,false,,,Phonemic,
kara1499-8-750-1,,kara1499,8-750,lokul,lokul,,,visser2021,,false,,,Phonemic,
kara1499-8-750-2,,kara1499,8-750,ror kulun,ror kulun,,,visser2021,,false,,,Phonemic,
kara1499-8-760-1,,kara1499,8-760,emun,emun,,,visser2021,,false,,,Phonemic,
kara1499-8-760-2,,kara1499,8-760,pol,pol,,,visser2021,,false,,,Phonemic,
kara1499-8-810-1,,kara1499,8-810,wat,wat,,,visser2021,,false,,,Phonemic,
kara1499-8-810-2,,kara1499,8-810,buok,buok,,,visser2021,,false,,,Phonemic,
kara1499-8-810-3,,kara1499,8-810,kaul,kaul,,,visser2021,,false,,,Phonemic,
kara1499-8-820-1,,kara1499,8-820,wat,wat,,,visser2021,,false,,,Phonemic,
kara1499-8-830-1,,kara1499,8-830,mun,mun,,,visser2021,,false,,,Phonemic,
kara1499-8-840-1,,kara1499,8-840,im,im,,,visser2021,,false,,,Phonemic,
kara1499-8-910-1,,kara1499,8-910,yap seran,yap seran,,,visser2021,,false,,,Phonemic,
kara1499-8-912-1,,kara1499,8-912,yap seran,yap seran,,,visser2021,,false,,,Phonemic,
kara1499-8-920-1,,kara1499,8-920,panggala,panggala,,,visser2021,,false,,,Phonemic,
kara1499-8-931-1,,kara1499,8-931,kasabiti,kasabiti,,,visser2021,,false,,,Phonemic,
kara1499-8-940-1,,kara1499,8-940,nop,nop,,,visser2021,,false,,,Phonemic,
kara1499-8-940-2,,kara1499,8-940,daluang,daluang,,,visser2021,,false,,,Phonemic,
kara1499-8-940-3,,kara1499,8-940,gaus,gaus,,,visser2021,,false,,,Phonemic,
kara1499-8-940-4,,kara1499,8-940,kasut,kasut,,,visser2021,,false,,,Phonemic,
kara1499-8-940-5,,kara1499,8-940,karuan,karuan,,,visser2021,,false,,,Phonemic,
kara1499-8-940-6,,kara1499,8-940,saban,saban,,,visser2021,,false,,,Phonemic,
kara1499-8-940-7,,kara1499,8-940,sasirip,sasirip,,,visser2021,,false,,,Phonemic,
kara1499-8-940-8,,kara1499,8-940,lawan,lawan,,,visser2021,,false,,,Phonemic,
kara1499-8-941-1,,kara1499,8-941,kom,kom,,,visser2021,,false,,,Phonemic,
kara1499-8-960-1,,kara1499,8-960,pak,pak,,,visser2021,,false,,,Phonemic,
kara1499-8-960-2,,kara1499,8-960,tup,tup,,,visser2021,,false,,,Phonemic,
kara1499-8-970-1,,kara1499,8-970,sere,sere,,,visser2021,,false,,,Phonemic,
kara1499-8-980-1,,kara1499,8-980,kawien,kawien,,,visser2021,,false,,,Phonemic,
kara1499-9-110-1,,kara1499,9-110,paruo,paruo,,,visser2021,,false,,,Phonemic,
kara1499-9-120-1,,kara1499,9-120,karajang,karajang,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-140-1,,kara1499,9-140,maulma,maulma,,,visser2021,,false,,,Phonemic,
kara1499-9-150-1,,kara1499,9-150,kang,kang,,,visser2021,,false,,,Phonemic,
kara1499-9-150-2,,kara1499,9-150,kawetkawet,kawetkawet,,,visser2021,,false,,,Phonemic,
kara1499-9-150-3,,kara1499,9-150,tawotma,tawotma,,,visser2021,,false,,,Phonemic,
kara1499-9-150-4,,kara1499,9-150,kawarma,kawarma,,,visser2021,,false,,,Phonemic,
kara1499-9-160-1,,kara1499,9-160,kanie,kanie,,,visser2021,,false,,,Phonemic,
kara1499-9-180-1,,kara1499,9-180,ranti,ranti,,,visser2021,,false,,,Phonemic,
kara1499-9-190-1,,kara1499,9-190,karek,karek,,,visser2021,,false,,,Phonemic,
kara1499-9-210-1,,kara1499,9-210,pue,pue,,,visser2021,,false,,,Phonemic,
kara1499-9-211-1,,kara1499,9-211,tu,tu,,,visser2021,,false,,,Phonemic,
kara1499-9-220-1,,kara1499,9-220,potma,potma,,cut,visser2021,,false,,,Phonemic,
kara1499-9-220-2,,kara1499,9-220,korkor,korkor,,cut wood into pieces,visser2021,,false,,,Phonemic,
kara1499-9-220-3,,kara1499,9-220,tabak,tabak,,cut into short pieces,visser2021,,false,,,Phonemic,
kara1499-9-220-4,,kara1499,9-220,paramua,paramua,,cut,visser2021,,false,,,Phonemic,
kara1499-9-220-5,,kara1499,9-220,karok,karok,,cut off branch,visser2021,,false,,,Phonemic,
kara1499-9-220-6,,kara1499,9-220,masalaboung,masalaboung,,cut off the end of a stem or piece of wood,visser2021,,false,,,Phonemic,
kara1499-9-220-7,,kara1499,9-220,suo,suo,,cut a coconut,visser2021,,false,,,Phonemic,
kara1499-9-220-8,,kara1499,9-220,suwarma,suwarma,,cut diagonally,visser2021,,false,,,Phonemic,
kara1499-9-220-9,,kara1499,9-220,seletma,seletma,,cut off a small bit (a sliver),visser2021,,false,,,Phonemic,
kara1499-9-220-10,,kara1499,9-220,kortaptap,kortaptap,,cut out,visser2021,,false,,,Phonemic,
kara1499-9-220-11,,kara1499,9-220,tolma,tolma,,cut string,visser2021,,false,,,Phonemic,
kara1499-9-220-12,,kara1499,9-220,letma,letma,,cut branch,visser2021,,false,,,Phonemic,
kara1499-9-220-13,,kara1499,9-220,pel,pel,,cut or split a bunch of bananas,visser2021,,false,,,Phonemic,
kara1499-9-220-14,,kara1499,9-220,dakdak,dakdak,,chop,visser2021,,false,,,Phonemic,
kara1499-9-220-15,,kara1499,9-220,polas,polas,,slice; cut,visser2021,,false,,,Phonemic,
kara1499-9-220-16,,kara1499,9-220,marum,marum,,slice; cut,visser2021,,false,,,Phonemic,
kara1499-9-220-17,,kara1499,9-220,parair,parair,,split,visser2021,,false,,,Phonemic,
kara1499-9-221-1,,kara1499,9-221,worma,worma,,,visser2021,,false,,,Phonemic,
kara1499-9-222-1,,kara1499,9-222,tawara,tawara,,,visser2021,,false,,,Phonemic,
kara1499-9-222-2,,kara1499,9-222,dakdak,dakdak,,,visser2021,,false,,,Phonemic,
kara1499-9-223-1,,kara1499,9-223,komain,komain,,,visser2021,,false,,,Phonemic,
kara1499-9-230-1,,kara1499,9-230,tektek,tektek,,,visser2021,,false,,,Phonemic,
kara1499-9-250-1,,kara1499,9-250,lem,lem,,,visser2021,,false,,,Phonemic,
kara1499-9-250-2,,kara1499,9-250,wewar,wewar,,,visser2021,,false,,,Phonemic,
kara1499-9-260-1,,kara1499,9-260,kawar,kawar,,break (glass),visser2021,,false,,,Phonemic,
kara1499-9-260-2,,kara1499,9-260,suosuo,suosuo,,break,visser2021,,false,,,Phonemic,
kara1499-9-260-3,,kara1499,9-260,naputus,naputus,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-260-4,,kara1499,9-260,maorek,maorek,,break down; pull apart,visser2021,,false,,,Phonemic,
kara1499-9-260-5,,kara1499,9-260,taraouk,taraouk,,be broken; be snapped,visser2021,,false,,,Phonemic,
kara1499-9-260-6,,kara1499,9-260,sanggotma,sanggotma,,break off a branch; pick fruits,visser2021,,false,,,Phonemic,
kara1499-9-260-7,,kara1499,9-260,kawarma,kawarma,,break; fold,visser2021,,false,,,Phonemic,
kara1499-9-260-8,,kara1499,9-260,meraraouk,meraraouk,,cause to break or snap,visser2021,,false,,,Phonemic,
kara1499-9-260-9,,kara1499,9-260,suo,suo,,break (of a wave),visser2021,,false,,,Phonemic,
kara1499-9-260-10,,kara1499,9-260,kararma,kararma,,hit and break,visser2021,,false,,,Phonemic,
kara1499-9-260-11,,kara1499,9-260,parair,parair,,split,visser2021,,false,,,Phonemic,
kara1499-9-261-1,,kara1499,9-261,taraouk,taraouk,,,visser2021,,false,,,Phonemic,
kara1499-9-270-1,,kara1499,9-270,parair,parair,,,visser2021,,false,,,Phonemic,
kara1499-9-270-2,,kara1499,9-270,pel,pel,,,visser2021,,false,,,Phonemic,
kara1499-9-280-1,,kara1499,9-280,masarut,masarut,,,visser2021,,false,,,Phonemic,
kara1499-9-310-1,,kara1499,9-310,yuon,yuon,,,visser2021,,false,,,Phonemic,
kara1499-9-310-2,,kara1499,9-310,naram,naram,,,visser2021,,false,,,Phonemic,
kara1499-9-310-3,,kara1499,9-310,nakucak,nakucak,,,visser2021,,false,,,Phonemic,
kara1499-9-320-1,,kara1499,9-320,madong,madong,,,visser2021,,false,,,Phonemic,
kara1499-9-320-2,,kara1499,9-320,soso,soso,,,visser2021,,false,,,Phonemic,
kara1499-9-330-1,,kara1499,9-330,kasawirma,kasawirma,,,visser2021,,false,,,Phonemic,
kara1499-9-330-2,,kara1499,9-330,naseduk,naseduk,,,visser2021,,false,,,Phonemic,
kara1499-9-330-3,,kara1499,9-330,sewa,sewa,,,visser2021,,false,,,Phonemic,
kara1499-9-330-4,,kara1499,9-330,dorma,dorma,,pull out,visser2021,,false,,,Phonemic,
kara1499-9-330-5,,kara1499,9-330,darua,darua,,pull out; unplug,visser2021,,false,,,Phonemic,
kara1499-9-330-6,,kara1499,9-330,tadorma,tadorma,,pull out with force,visser2021,,false,,,Phonemic,
kara1499-9-330-7,,kara1499,9-330,kolo,kolo,,pull out; unplug,visser2021,,false,,,Phonemic,
kara1499-9-330-8,,kara1499,9-330,ramie,ramie,,pull; drag,visser2021,,false,,,Phonemic,
kara1499-9-340-1,,kara1499,9-340,sangganggam,sangganggam,,,visser2021,,false,,,Phonemic,
kara1499-9-340-2,,kara1499,9-340,kowarwak,kowarwak,,,visser2021,,false,,,Phonemic,
kara1499-9-341-1,,kara1499,9-341,manggang,manggang,,,visser2021,,false,,,Phonemic,
kara1499-9-342-1,,kara1499,9-342,naram,naram,,,visser2021,,false,,,Phonemic,
kara1499-9-343-1,,kara1499,9-343,naramas,naramas,,,visser2021,,false,,,Phonemic,
kara1499-9-343-2,,kara1499,9-343,golma,golma,,,visser2021,,false,,,Phonemic,
kara1499-9-350-1,,kara1499,9-350,gareor,gareor,,,visser2021,,false,,,Phonemic,
kara1499-9-350-2,,kara1499,9-350,nasirang,nasirang,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-360-1,,kara1499,9-360,waruo,waruo,,,visser2021,,false,,,Phonemic,
kara1499-9-370-1,,kara1499,9-370,gokabara,gokabara,,,visser2021,,false,,,Phonemic,
kara1499-9-370-2,,kara1499,9-370,kabara,kabara,,,visser2021,,false,,,Phonemic,
kara1499-9-380-1,,kara1499,9-380,sirarai,sirarai,,,visser2021,,false,,,Phonemic,
kara1499-9-422-1,,kara1499,9-422,alat,alat,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-460-1,,kara1499,9-460,bor,bor,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-480-1,,kara1499,9-480,aragadi,aragadi,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-490-1,,kara1499,9-490,resan,resan,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-500-1,,kara1499,9-500,paku,paku,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-560-1,,kara1499,9-560,lem,lem,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-640-1,,kara1499,9-640,marau,marau,,,visser2021,,false,,,Phonemic,
kara1499-9-670-1,,kara1499,9-670,kamung,kamung,,,visser2021,,false,,,Phonemic,
kara1499-9-670-2,,kara1499,9-670,taba,taba,,,visser2021,,false,,,Phonemic,
kara1499-9-730-1,,kara1499,9-730,naun kerkap,naun kerkap,,lit. red earth,visser2021,,false,,,Phonemic,
kara1499-9-740-1,,kara1499,9-740,gelas,gelas,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-9-750-1,,kara1499,9-750,kajie,kajie,,,visser2021,,false,,,Phonemic,
kara1499-9-750-2,,kara1499,9-750,gaim,gaim,,,visser2021,,false,,,Phonemic,
kara1499-9-750-3,,kara1499,9-750,nadadi,nadadi,,,visser2021,,false,,,Phonemic,
kara1499-9-760-1,,kara1499,9-760,kiem,kiem,,,visser2021,,false,,,Phonemic,
kara1499-9-760-2,,kara1499,9-760,pan,pan,,,visser2021,,false,,,Phonemic,
kara1499-9-760-3,,kara1499,9-760,kurera,kurera,,,visser2021,,false,,,Phonemic,
kara1499-9-770-1,,kara1499,9-770,irar,irar,,finely woven,visser2021,,false,,,Phonemic,
kara1499-9-770-2,,kara1499,9-770,kalifan,kalifan,,coarsely woven,visser2021,,false,,,Phonemic,
kara1499-9-780-1,,kara1499,9-780,toman,toman,,,visser2021,,false,,,Phonemic,
kara1499-9-791-1,,kara1499,9-791,kawiawi,kawiawi,,,visser2021,,false,,,Phonemic,
kara1499-9-810-1,,kara1499,9-810,kies,kies,,,visser2021,,false,,,Phonemic,
kara1499-9-840-1,,kara1499,9-840,taot,taot,,,visser2021,,false,,,Phonemic,
kara1499-9-890-1,,kara1499,9-890,cat,cat,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-10-110-1,,kara1499,10-110,iar,iar,,,visser2021,,false,,,Phonemic,
kara1499-10-120-1,,kara1499,10-120,barotma,barotma,,,visser2021,,false,,,Phonemic,
kara1499-10-120-2,,kara1499,10-120,roye,roye,,,visser2021,,false,,,Phonemic,
kara1499-10-120-3,,kara1499,10-120,malaouk,malaouk,,,visser2021,,false,,,Phonemic,
kara1499-10-120-4,,kara1499,10-120,mayilma,mayilma,,,visser2021,,false,,,Phonemic,
kara1499-10-130-1,,kara1499,10-130,barotma,barotma,,,visser2021,,false,,,Phonemic,
kara1499-10-130-2,,kara1499,10-130,naurar,naurar,,,visser2021,,false,,,Phonemic,
kara1499-10-130-3,,kara1499,10-130,roye,roye,,,visser2021,,false,,,Phonemic,
kara1499-10-140-1,,kara1499,10-140,kies,kies,,,visser2021,,false,,,Phonemic,
kara1499-10-140-2,,kara1499,10-140,kafan,kafan,,,visser2021,,false,,,Phonemic,
kara1499-10-140-3,,kara1499,10-140,karap,karap,,,visser2021,,false,,,Phonemic,
kara1499-10-150-1,,kara1499,10-150,nabulis,nabulis,,,visser2021,,false,,,Phonemic,
kara1499-10-160-1,,kara1499,10-160,matur,matur,,,visser2021,,false,,,Phonemic,
kara1499-10-160-2,,kara1499,10-160,paruak,paruak,,,visser2021,,false,,,Phonemic,
kara1499-10-160-3,,kara1499,10-160,lapas,lapas,,,visser2021,,false,,,Phonemic,
kara1499-10-160-4,,kara1499,10-160,naberuak,naberuak,,,visser2021,,false,,,Phonemic,
kara1499-10-160-5,,kara1499,10-160,komamun,komamun,,,visser2021,,false,,,Phonemic,
kara1499-10-170-1,,kara1499,10-170,golma,golma,,,visser2021,,false,,,Phonemic,
kara1499-10-220-1,,kara1499,10-220,masak,masak,,,visser2021,,false,,,Phonemic,
kara1499-10-220-2,,kara1499,10-220,ganggie,ganggie,,,visser2021,,false,,,Phonemic,
kara1499-10-230-1,,kara1499,10-230,tur,tur,,,visser2021,,false,,,Phonemic,
kara1499-10-250-1,,kara1499,10-250,komain,komain,,,visser2021,,false,,,Phonemic,
kara1499-10-250-2,,kara1499,10-250,muk,muk,,,visser2021,,false,,,Phonemic,
kara1499-10-250-3,,kara1499,10-250,walawala,walawala,,,visser2021,,false,,,Phonemic,
kara1499-10-250-4,,kara1499,10-250,mudi,mudi,,,visser2021,,false,,,Phonemic,
kara1499-10-252-1,,kara1499,10-252,loku,loku,,,visser2021,,false,,,Phonemic,
kara1499-10-260-1,,kara1499,10-260,tun,tun,,,visser2021,,false,,,Phonemic,
kara1499-10-260-2,,kara1499,10-260,goyang,goyang,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-10-330-1,,kara1499,10-330,dare,dare,,,visser2021,,false,,,Phonemic,
kara1499-10-340-1,,kara1499,10-340,pouk,pouk,,,visser2021,,false,,,Phonemic,
kara1499-10-350-1,,kara1499,10-350,yie,yie,,,visser2021,,false,,,Phonemic,
kara1499-10-351-1,,kara1499,10-351,ar,ar,,,visser2021,,false,,,Phonemic,
kara1499-10-360-1,,kara1499,10-360,kinggir,kinggir,,,visser2021,,false,,,Phonemic,
kara1499-10-370-1,,kara1499,10-370,pararuo,pararuo,,,visser2021,,false,,,Phonemic,
kara1499-10-380-1,,kara1499,10-380,kou,kou,,,visser2021,,false,,,Phonemic,
kara1499-10-410-1,,kara1499,10-410,gareor,gareor,,,visser2021,,false,,,Phonemic,
kara1499-10-410-2,,kara1499,10-410,guadang,guadang,,,visser2021,,false,,,Phonemic,
kara1499-10-410-3,,kara1499,10-410,manggaren,manggaren,,,visser2021,,false,,,Phonemic,
kara1499-10-412-1,,kara1499,10-412,eiruk,eiruk,,,visser2021,,false,,,Phonemic,
kara1499-10-420-1,,kara1499,10-420,sou,sou,,,visser2021,,false,,,Phonemic,
kara1499-10-430-1,,kara1499,10-430,dalang,dalang,,,visser2021,,false,,,Phonemic,
kara1499-10-431-1,,kara1499,10-431,sempang,sempang,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-10-440-1,,kara1499,10-440,nasula,nasula,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-10-440-2,,kara1499,10-440,tarian,tarian,,,visser2021,,false,,,Phonemic,
kara1499-10-450-1,,kara1499,10-450,marmar,marmar,,,visser2021,,false,,,Phonemic,
kara1499-10-460-1,,kara1499,10-460,kiem,kiem,,,visser2021,,false,,,Phonemic,
kara1499-10-460-2,,kara1499,10-460,tiri,tiri,,,visser2021,,false,,,Phonemic,
kara1499-10-470-1,,kara1499,10-470,bo,bo,,,visser2021,,false,,,Phonemic,
kara1499-10-471-1,,kara1499,10-471,sara,sara,,,visser2021,,false,,,Phonemic,
kara1499-10-471-2,,kara1499,10-471,era,era,,,visser2021,,false,,,Phonemic,
kara1499-10-472-1,,kara1499,10-472,sara,sara,,,visser2021,,false,,,Phonemic,
kara1499-10-473-1,,kara1499,10-473,bara,bara,,,visser2021,,false,,,Phonemic,
kara1499-10-474-1,,kara1499,10-474,taluk,taluk,,,visser2021,,false,,,Phonemic,
kara1499-10-480-1,,kara1499,10-480,mia,mia,,,visser2021,,false,,,Phonemic,
kara1499-10-481-1,,kara1499,10-481,yecie,yecie,,,visser2021,,false,,,Phonemic,
kara1499-10-491-1,,kara1499,10-491,gosomin,gosomin,,,visser2021,,false,,,Phonemic,
kara1499-10-510-1,,kara1499,10-510,kiem,kiem,,,visser2021,,false,,,Phonemic,
kara1499-10-520-1,,kara1499,10-520,pareir,pareir,,,visser2021,,false,,,Phonemic,
kara1499-10-530-1,,kara1499,10-530,sarie,sarie,,,visser2021,,false,,,Phonemic,
kara1499-10-550-1,,kara1499,10-550,kobes,kobes,,,visser2021,,false,,,Phonemic,
kara1499-10-570-1,,kara1499,10-570,masuk,masuk,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-10-610-1,,kara1499,10-610,poup,poup,,living being on back,visser2021,,false,,,Phonemic,
kara1499-10-612-1,,kara1499,10-612,tanggo,tanggo,,,visser2021,,false,,,Phonemic,
kara1499-10-613-1,,kara1499,10-613,lebaleba,lebaleba,,,visser2021,,false,,,Phonemic,
kara1499-10-613-2,,kara1499,10-613,bitko,bitko,,,visser2021,,false,,,Phonemic,
